Ticker,Name,Yield to Maturity,As of Date
DFCA,California Municipal Bond ETF,0.0308,11-30-2023
DFCF,Core Fixed Income ETF,0.053200000000000004,11-30-2023
DFGP,Global Core Plus Fixed Income ETF,0.0616,11-30-2023
DGCB,Global Credit ETF,0.059500000000000004,11-30-2023
DFSB,Global Sustainability Fixed Income ETF,0.0574,11-30-2023
DFGX,Global ex US Core Fixed Income ETF,0.061200000000000004,11-30-2023
DFIP,Inflation Protected Securities ETF,0.022000000000000002,11-30-2023
DFNM,National Municipal Bond ETF,0.0317,11-30-2023
DFSD,Short Duration Fixed Income ETF,0.056299999999999996,11-30-2023
DUSB,Ultrashort Fixed Income ETF,0.0592,11-30-2023
