Ticker,Name,Yield to Maturity,As of Date,Weighted Avg Coupon,Effective Duration,Weighted Avg Maturity,Option Adjusted Spread,Yield to Worst,Average Price,,Number of Holdings,Average Coupon (%),Effective Maturity (yrs),Option Adjusted Duration (yrs),"Yield to Maturity,capped (YTM,%)","Yield to Worst,capped (YTW,%)",P/E Ratio,P/B Ratio,Weighted Average Market Cap (Bn)
GIGB,Goldman Sachs Access Investment Grade Corporate Bond ETF,0.053099999999999994,03-28-2024,0.0417,6.96,11.13,89.03,0.053,93.14,,,,,,,,,,
GMUN,Goldman Sachs Community Municipal Bond ETF,,03-28-2024,,,,,,,Fund,296,4.47,6.25,3.91,3.45,3.12,,,
GSST,Goldman Sachs Access Ultra Short Bond ETF,0.054400000000000004,03-28-2024,0.0501,0.62,6.91,58.01,0.0542,99.43,,,,,,,,,,
GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,0.0512,03-28-2024,0.0033,0.39,0.41,,0.0512,98.19,,,,,,,,,,
GSIG,Goldman Sachs Access Investment Grade Corporate 1-5 Year Bond ETF,0.052000000000000005,03-28-2024,0.0401,2.53,3.18,62.78,0.0519,97.46,,,,,,,,,,
GEMD,Goldman Sachs Access Emerging Markets USD Bond ETF,0.0649,03-28-2024,0.0524,7.13,12.15,213.73,0.0649,91.64,,,,,,,,,,
GCOR,Goldman Sachs Access U.S. Aggregate Bond ETF,0.0489,03-28-2024,0.0277,6.25,12.89,34.43,0.0489,90.02,,,,,,,,,,
GTIP,Goldman Sachs Access Inflation Protected USD Bond ETF,0.046,03-28-2024,0.0054,6.78,7.22,19.19,0.046,91.77,,,,,,,,,,
GHYB,Goldman Sachs Access High Yield Corporate Bond ETF,0.0742,03-28-2024,0.059699999999999996,3.23,4.71,289.82,0.0728,94.19,,,,,,,,,,
GVIP,Goldman Sachs Hedge Industry VIP ETF,,03-28-2024,,,,,,,,,,,,,,18.07,3.87,426.52
JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,,03-28-2024,,,,,,,,,,,,,,26.09,4.56,829.62
GSC,Goldman Sachs Small Cap Core Equity ETF,,03-28-2024,,,,,,,,,,,,,,19.90,2.69,5.86
GTEK,Goldman Sachs Future Tech Leaders Equity ETF,,03-28-2024,,,,,,,,,,,,,,35.17,5.36,43.89
GSEU,Goldman Sachs ActiveBeta Europe Equity ETF,,03-28-2024,,,,,,,,,,,,,,14.07,2.00,108.36
GSJY,Goldman Sachs ActiveBeta Japan Equity ETF,,03-28-2024,,,,,,,,,,,,,,9.39,0.99,55.99
GUSA,Goldman Sachs MarketBeta US 1000 Equity ETF,,03-28-2024,,,,,,,,,,,,,,25.23,4.41,729.24
GDEF,Goldman Sachs Defensive Equity ETF,,03-28-2024,,,,,,,,,,,,,,27.47,5.63,630.35
GPIX,Goldman Sachs S&P 500 Core Premium Income ETF,,03-28-2024,,,,,,,,,,,,,,25.63,4.56,801.74
GINN,Goldman Sachs Innovate Equity ETF,,03-28-2024,,,,,,,,,,,,,,24.96,3.12,360.46
GSIE,Goldman Sachs ActiveBeta International Equity ETF,,03-28-2024,,,,,,,,,,,,,,12.36,1.55,77.18
