Ticker,Name,Yield to Maturity,As of Date
BOND,Active Bond Exchange-Traded Fund,0.0572,08-14-2023
CORP,Investment Grade Corporate Bond Index Exchange-Traded Fund,0.0574,08-14-2023
MINO,Municipal Income Opportunities Active Exchange-Traded Fund,0.0467,08-14-2023
LTPZ,15+ Year U.S. TIPS Index Exchange-Traded Fund,0.045899999999999996,08-14-2023
SMMU,Short Term Municipal Bond Active Exchange-Traded Fund,0.0395,08-14-2023
HYS,0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund,0.0857,08-14-2023
LDUR,Enhanced Low Duration Active Exchange-Traded Fund,0.0579,08-14-2023
STPZ,1-5 Year U.S. TIPS Index Exchange-Traded Fund,0.0496,08-14-2023
TIPZ,Broad U.S. TIPS Index Exchange-Traded Fund,0.0482,08-14-2023
MUNI,Intermediate Municipal Bond Active Exchange-Traded Fund,0.0388,08-14-2023
ZROZ,25+ Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,0.042699999999999995,08-14-2023
