Ticker,Name,Yield to Worst,Yield to Maturity,As of Date
ANGL,VanEck Fallen Angel High Yield Bond ETF,0.068,0.0689,04-10-2024
XMPT,VanEck CEF Muni Income ETF,0.0662,0.0707,04-10-2024
XMPT,VanEck CEF Muni Income ETF,0.0662,0.0707,04-10-2024
CLOI,VanEck CLO ETF,0.0676,0.0375,04-10-2024
HYEM,VanEck Emerging Markets High Yield Bond ETF,0.085,0.0867,04-10-2024
GRNB,VanEck Green Bond ETF,0.0548,0.054900000000000004,04-10-2024
HYD,VanEck High Yield Muni ETF,0.049699999999999994,0.051500000000000004,04-10-2024
SMI,VanEck HIP Sustainable Muni ETF,0.0381,0.0418,04-10-2024
FLTR,VanEck IG Floating Rate ETF,0.06,0.060700000000000004,04-09-2024
ITM,VanEck Intermediate Muni ETF,0.0342,0.0388,04-10-2024
IHY,VanEck International High Yield Bond ETF,0.0674,0.0696,04-10-2024
EMLC,VanEck J.P. Morgan EM Local Currency Bond ETF,0.06709999999999999,0.0678,04-10-2024
MLN,VanEck Long Muni ETF,0.042199999999999994,0.0451,04-10-2024
MBBB,VanEck Moody’s Analytics BBB Corporate Bond ETF,0.0574,0.0576,04-10-2024
MIG,VanEck Moody’s Analytics IG Corporate Bond ETF,0.0557,0.0558,04-10-2024
SHYD,VanEck Short High Yield Muni ETF,0.0454,0.046799999999999994,04-10-2024
SMB,VanEck Short Muni ETF,0.0338,0.0349,04-10-2024
