Ticker,Name,Yield to Maturity,As of Date
USFR,WisdomTree Floating Rate Treasury Fund,0.0558,01-02-2024
UNIY,WisdomTree Voya Yield Enhanced USD Universal Bond Fund,0.0489,01-02-2024
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,0.0483,01-02-2024
WFHY,WisdomTree U.S. High Yield Corporate Bond Fund,0.0731,01-02-2024
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,0.0463,01-02-2024
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,0.0725,01-02-2024
SHAG,WisdomTree Yield Enhanced U.S. Short-Term Aggregate Bond Fund,0.0467,01-02-2024
ELD,WisdomTree Emerging Markets Local Debt Fund,0.071,01-02-2024
SFIG,WisdomTree U.S. Short-Term Corporate Bond Fund,0.050199999999999995,01-02-2024
MTGP,WisdomTree Mortgage Plus Bond Fund,0.0579,01-02-2024
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,0.0659,01-02-2024
WFIG,WisdomTree U.S. Corporate Bond Fund,0.051399999999999994,01-02-2024
WTBN,WisdomTree Bianco Total Return Fund,0.0,01-02-2024
